from,to,from_label,to_label,from_color,to_color,from_cat,to_cat,from_size,to_size,from_desc,to_desc
nlp,abm,NLP,ABM,#8b7cf8,#8b7cf8,comp,comp,34,26,"Natural Language Processing - discourse analysis at scale","Agent-Based Modelling - emergent social behavior"
nlp,ai,NLP,AI,#8b7cf8,#8b7cf8,comp,comp,34,28,"Natural Language Processing - discourse analysis at scale","LLMs, embeddings, classification for social research"
nlp,polar,NLP,Polarization,#8b7cf8,#2dd4bf,comp,pol,34,18,"Natural Language Processing - discourse analysis at scale","Affective and ideological polarization via text + survey"
nlp,trace,NLP,Digital Trace,#8b7cf8,#fb923c,comp,meth,34,24,"Natural Language Processing - discourse analysis at scale","Behavioral footprints on platforms and news sites"
nlp,scraping,NLP,Web Scraping,#8b7cf8,#fb923c,comp,meth,34,20,"Natural Language Processing - discourse analysis at scale","Automated extraction of newspaper archives"
abm,demo,ABM,Democracy,#8b7cf8,#2dd4bf,comp,pol,26,30,"Agent-Based Modelling - emergent social behavior","Democratic erosion and legitimacy in Latin America"
abm,violence,ABM,Violence,#8b7cf8,#f472b6,comp,soc,26,22,"Agent-Based Modelling - emergent social behavior","Social legitimacy of violence - EPSEP study"
abm,polar,ABM,Polarization,#8b7cf8,#2dd4bf,comp,pol,26,18,"Agent-Based Modelling - emergent social behavior","Affective and ideological polarization via text + survey"
trace,scraping,Digital Trace,Web Scraping,#fb923c,#fb923c,meth,meth,24,20,"Behavioral footprints on platforms and news sites","Automated extraction of newspaper archives"
trace,ai,Digital Trace,AI,#fb923c,#8b7cf8,meth,comp,24,28,"Behavioral footprints on platforms and news sites","LLMs, embeddings, classification for social research"
trace,polar,Digital Trace,Polarization,#fb923c,#2dd4bf,meth,pol,24,18,"Behavioral footprints on platforms and news sites","Affective and ideological polarization via text + survey"
demo,violence,Democracy,Violence,#2dd4bf,#f472b6,pol,soc,30,22,"Democratic erosion and legitimacy in Latin America","Social legitimacy of violence - EPSEP study"
demo,inter,Democracy,Intercultural,#2dd4bf,#f472b6,pol,soc,30,22,"Democratic erosion and legitimacy in Latin America","Indigenous relations in Chile - ELRI study"
demo,polar,Democracy,Polarization,#2dd4bf,#2dd4bf,pol,pol,30,18,"Democratic erosion and legitimacy in Latin America","Affective and ideological polarization via text + survey"
ai,scraping,AI,Web Scraping,#8b7cf8,#fb923c,comp,meth,28,20,"LLMs, embeddings, classification for social research","Automated extraction of newspaper archives"
ai,polar,AI,Polarization,#8b7cf8,#2dd4bf,comp,pol,28,18,"LLMs, embeddings, classification for social research","Affective and ideological polarization via text + survey"
violence,inter,Violence,Intercultural,#f472b6,#f472b6,soc,soc,22,22,"Social legitimacy of violence - EPSEP study","Indigenous relations in Chile - ELRI study"
survey,nlp,Survey Methods,NLP,#fb923c,#8b7cf8,meth,comp,20,34,"Longitudinal design, panel attrition, multilevel models","Natural Language Processing - discourse analysis at scale"
survey,abm,Survey Methods,ABM,#fb923c,#8b7cf8,meth,comp,20,26,"Longitudinal design, panel attrition, multilevel models","Agent-Based Modelling - emergent social behavior"
